lng,lat,name
13.2721797 , 51.2991335 ,"Burger King"
12.0189398 , 51.4525096 ,"Burger King"
14.9712197 , 51.1675570 ,"Burger King"
13.5943597 , 52.6764391 ,"Burger King"
12.1988097 , 51.6362337 ,"Burger King"
12.3022397 , 51.8211318 ,"Burger King"
11.9867297 , 51.4780868 ,"Burger King"
7.2330698 , 50.5749946 ,"McDonalds"
7.7773698 , 48.2803590 ,"Burger King"
9.9766898 , 48.4016351 ,"Burger King"
8.3578798 , 49.0283690 ,"Burger King"
9.2234698 , 49.1539790 ,"Burger King"
10.2418798 , 49.2581890 ,"Burger King"
7.7414999 , 49.4404290 ,"Burger King"
7.5918098 , 50.3591388 ,"Burger King"
6.9499498 , 50.9364588 ,"Burger King"
7.5755699 , 51.0035890 ,"Burger King"
8.5826798 , 49.5320290 ,"Burger King"
8.9905898 , 50.6456390 ,"Burger King"
8.5676999 , 49.1619790 ,"Burger King"
8.6320498 , 49.3503790 ,"Burger King"
8.2658797 , 50.0015290 ,"Burger King"
8.7428398 , 50.1240890 ,"Burger King"
10.2161198 , 50.0215090 ,"Burger King"
9.1927598 , 48.6786790 ,"Burger King"
7.0346199 , 50.9677190 ,"Burger King"
10.4706998 , 49.7666790 ,"Burger King"
8.7945598 , 50.0145989 ,"Burger King"
8.9013897 , 50.1480190 ,"Burger King"
6.6506997 , 49.7559990 ,"Burger King"
7.3619499 , 49.7123090 ,"Burger King"
6.9151099 , 50.9492489 ,"Burger King"
9.1780598 , 50.1899690 ,"Burger King"
8.6540098 , 48.9051890 ,"Burger King"
10.0839498 , 48.8310390 ,"Burger King"
8.0257198 , 50.8978690 ,"Burger King"
8.2546499 , 50.0579289 ,"Burger King"
7.0218499 , 49.2252590 ,"Burger King"
10.0686498 , 49.7786990 ,"Burger King"
9.0260898 , 48.7063589 ,"Burger King"
9.2965598 , 48.8202590 ,"Burger King"
9.1328198 , 49.9800889 ,"Burger King"
8.6404998 , 48.1504690 ,"Burger King"
6.9897298 , 51.0646689 ,"Burger King"
8.6913199 , 50.5713590 ,"Burger King"
6.9398398 , 50.9388789 ,"Burger King"
8.3410799 , 49.4093690 ,"Burger King"
10.1945398 , 50.0542090 ,"Burger King"
7.6806099 , 49.9976989 ,"Burger King"
7.4328599 , 50.5995790 ,"Burger King"
8.4053499 , 49.0095990 ,"Burger King"
8.4669698 , 49.4887690 ,"Burger King"
7.9299098 , 49.9019690 ,"Burger King"
9.9526098 , 49.7997890 ,"Burger King"
7.8485598 , 47.9940890 ,"Burger King"
8.2794298 , 50.6759990 ,"Burger King"
7.5577098 , 50.3882590 ,"Burger King"
7.8029199 , 49.4570590 ,"Burger King"
8.6457998 , 49.8820590 ,"Burger King"
6.7532298 , 49.3135790 ,"Burger King"
9.1930597 , 48.6899104 ,"Burger King"
7.7516099 , 50.4825489 ,"Burger King"
9.7138198 , 50.5539689 ,"Burger King"
7.1358199 , 49.2694189 ,"Burger King"
8.6276598 , 50.1012690 ,"Burger King"
6.4594399 , 50.8323989 ,"Burger King"
8.5460098 , 49.4132390 ,"Burger King"
8.6018998 , 49.6728690 ,"Burger King"
8.5037698 , 48.0821290 ,"Burger King"
10.2480098 , 47.8838977 ,"Burger King"
9.1810998 , 48.7834890 ,"Burger King"
9.9637198 , 49.7501690 ,"Burger King"
8.8522698 , 47.7536790 ,"Burger King"
8.8024598 , 47.9871490 ,"Burger King"
8.8960398 , 49.2409090 ,"Burger King"
6.5240498 , 49.9599690 ,"Burger King"
7.8953798 , 49.8519490 ,"Burger King"
7.0174499 , 50.9498089 ,"Burger King"
8.6749298 , 49.3994390 ,"Burger King"
7.0049099 , 50.9625489 ,"Burger King"
10.4440198 , 48.4112237 ,"Burger King"
6.1030098 , 50.7963290 ,"Burger King"
9.0019399 , 48.6827790 ,"Burger King"
7.0744799 , 50.7416590 ,"Burger King"
8.6502599 , 50.5371948 ,"Burger King"
9.6742398 , 50.5460790 ,"Burger King"
8.7514899 , 50.1403690 ,"Burger King"
9.5753898 , 49.7708890 ,"Burger King"
9.6354698 , 47.8129990 ,"Burger King"
8.6638298 , 50.1076889 ,"Burger King"
7.1082698 , 50.8165389 ,"Burger King"
6.9585099 , 50.9431089 ,"Burger King"
6.8026199 , 50.6612089 ,"Burger King"
6.9663698 , 50.8920989 ,"Burger King"
7.4167498 , 50.4369390 ,"Burger King"
9.1511097 , 48.9207390 ,"Burger King"
8.6758299 , 49.4044990 ,"Burger King"
7.2481799 , 50.3270205 ,"Burger King"
10.0319798 , 48.4576090 ,"Burger King"
9.2071998 , 48.5022290 ,"Burger King"
9.3802198 , 48.7146490 ,"Burger King"
8.3594198 , 49.6548790 ,"Burger King"
7.9325698 , 48.4696990 ,"Burger King"
8.6858098 , 50.2950690 ,"Burger King"
8.9746198 , 48.3499990 ,"Burger King"
9.0455998 , 48.2033190 ,"Burger King"
8.6182098 , 49.6447390 ,"Burger King"
6.2471499 , 50.8253190 ,"Burger King"
8.1688199 , 49.3401390 ,"Burger King"
9.6886598 , 48.6973389 ,"Burger King"
10.2132097 , 48.4374190 ,"Burger King"
9.8061898 , 48.1172490 ,"Burger King"
7.1795998 , 50.7913590 ,"Burger King"
8.7555498 , 50.2339989 ,"Burger King"
8.0026098 , 50.8642290 ,"Burger King"
8.0871398 , 50.8166190 ,"Burger King"
9.2563998 , 48.7606190 ,"Burger King"
9.4607298 , 48.6534990 ,"Burger King"
9.1346598 , 49.3465390 ,"Burger King"
7.7524198 , 48.2264590 ,"Burger King"
8.7034999 , 48.8936890 ,"Burger King"
7.3545498 , 49.2470990 ,"Burger King"
7.8359699 , 50.9971990 ,"Burger King"
8.6771898 , 50.4361290 ,"Burger King"
6.9038899 , 51.1150290 ,"Burger King"
8.7688798 , 50.8294590 ,"Burger King"
8.1095399 , 50.0023589 ,"Burger King"
